100770,12,72,41,33
101199,16,70,29,30
101332,30,55,37,33
102060,8,53,25,22
102313,28,55,30,35
102727,14,77,39,32
103818,17,45,20,22
104333,15,46,37,34
104502,11,57,29,22
104596,12,42,22,20
104665,18,42,24,22
105754,11,67,36,33
105768,18,43,32,22
105780,15,64,38,30
106024,8,39,25,21
106140,12,53,21,22
106703,4,34,23,23
10676,17,42,22,22
107187,15,50,35,33
107328,8,77,55,31
108593,6,50,21,18
108663,14,40,27,24
109047,13,45,26,22
109291,13,58,25,25
109382,7,35,22,21
109551,8,45,30,22
109597,15,67,50,45
1097,12,26,19,19
110516,28,59,26,28
110669,8,53,27,22
110795,11,58,38,26
110977,22,67,48,36
11120,14,68,32,32
111214,12,46,29,26
111288,21,93,53,44
111528,15,43,24,22
111782,9,38,21,21
112236,14,65,41,34
112510,16,55,30,28
112917,32,76,42,41
113149,7,38,22,21
113248,16,43,21,26
113829,3,41,25,23
114042,13,28,26,24
114094,22,98,51,44
114111,14,61,35,27
114170,14,78,37,28
114364,13,56,33,28
114509,12,64,32,28
114950,7,53,21,23
115094,6,34,20,18
115299,10,63,38,34
116078,9,46,31,31
116498,8,50,27,23
116651,14,47,32,30
116676,8,40,31,27
117135,11,57,36,24
117154,10,53,38,31
117473,18,52,34,31
117628,4,40,26,24
119265,14,42,24,23
119476,6,52,22,21
119700,15,44,30,29
119719,17,67,38,34
119874,9,39,21,21
120117,13,34,26,23
120192,13,50,27,21
120516,25,54,36,40
120711,13,51,27,24
121087,1,36,18,17
121115,10,64,31,22
121496,11,47,24,24
121649,12,34,24,23
121650,13,37,21,19
122411,10,49,32,30
122976,14,42,29,27
1230,12,42,30,28
123466,4,46,27,21
123888,10,53,36,27
124112,13,43,23,28
124437,10,33,20,19
124800,12,60,41,31
124887,6,65,37,35
125046,24,38,22,20
126045,26,68,52,40
12646,15,65,31,28
127416,10,46,30,20
127678,12,38,25,23
128158,8,54,21,19
128636,8,62,27,21
129752,15,57,20,19
129865,13,51,30,25
130319,10,63,23,20
130437,14,54,27,27
130461,8,37,20,23
130614,3,43,27,20
130728,11,45,36,28
130739,10,44,24,18
130799,8,50,33,23
130811,11,38,21,28
131854,7,48,31,19
13191,31,78,44,37
132315,6,41,23,22
132388,10,43,23,20
132716,13,41,23,22
133117,19,39,27,22
133493,8,40,26,27
134433,14,70,29,31
134503,11,53,26,26
134690,14,54,35,35
134903,17,54,35,29
13542,8,59,28,30
135450,13,40,28,23
135652,12,63,37,23
136092,10,58,32,29
136238,8,57,30,26
136354,12,49,24,22
137081,10,59,30,25
137443,14,83,52,37
137878,4,42,29,22
138408,19,56,37,26
13841,4,38,19,18
139342,16,41,24,23
139512,11,48,37,32
139667,15,57,36,33
13990,7,25,16,17
141153,9,65,30,28
141173,18,54,29,23
141237,24,64,34,36
141345,16,61,38,31
141468,14,48,35,28
141502,18,38,21,22
141749,18,41,24,19
141757,10,52,27,26
142033,19,84,53,43
142096,11,55,27,25
142888,20,54,36,26
142988,29,69,30,35
143069,9,47,26,31
143074,19,62,40,24
143440,16,38,21,23
144769,13,49,22,19
14522,12,45,26,23
145908,14,59,30,30
145973,8,34,23,19
146353,16,75,36,36
146476,13,54,36,32
148052,8,51,28,26
1481,14,53,32,20
148163,8,56,26,30
148486,12,45,34,27
148940,14,39,23,24
149434,11,59,40,24
14991,28,42,21,21
150946,18,66,43,33
151566,18,58,29,29
151909,8,35,21,17
15247,11,61,36,36
153094,16,83,54,41
153657,8,41,27,23
154565,14,61,36,30
154621,11,39,19,18
154810,14,55,32,28
154936,16,36,30,34
15660,12,79,51,43
15690,11,46,26,21
15789,13,32,20,21
16872,11,42,26,22
17885,11,37,27,22
17904,18,60,34,35
1806,11,61,38,34
18230,24,53,34,26
18689,12,50,30,23
19715,9,40,27,25
20240,22,78,47,42
20287,16,38,23,22
20532,11,52,27,29
20544,18,61,26,27
21286,21,64,34,33
21720,8,32,22,17
21762,11,50,32,24
22442,12,45,35,26
2280,9,63,38,20
22818,21,86,43,39
22968,6,47,22,19
22996,7,35,18,20
23060,7,42,21,19
23077,7,38,25,22
23731,19,53,29,39
23930,9,62,40,30
24034,20,53,37,41
24108,8,43,30,30
24464,7,66,30,26
24771,12,40,29,21
25400,8,64,28,19
26268,11,49,35,29
26568,8,46,34,29
26618,16,68,38,38
26864,4,46,34,30
27281,6,36,25,23
27915,15,55,25,25
28795,17,53,26,26
29195,21,59,41,37
29374,12,56,39,36
29485,13,41,24,23
29678,11,27,21,21
29874,28,74,40,33
30366,17,77,35,30
30371,15,53,32,30
30554,13,58,39,33
31830,7,47,25,22
3190,11,40,35,25
31985,12,41,23,19
3212,7,43,23,19
32514,26,74,40,31
33711,14,44,33,26
33816,16,40,35,35
34136,11,60,47,40
34291,21,58,42,40
34318,9,47,35,32
3450,11,42,25,22
34697,14,36,23,22
34744,13,47,23,23
35417,12,30,22,21
35452,9,43,26,22
35505,16,84,49,37
35677,18,56,36,28
3578,5,36,23,20
36080,17,47,33,33
36195,6,44,32,29
36430,16,25,35,26
36485,7,44,32,19
36736,11,44,22,21
37122,6,69,36,32
3723,9,61,32,30
37653,15,54,30,23
37654,13,33,25,30
37789,3,17,19,19
39503,12,73,36,30
39729,15,32,25,18
40768,10,69,45,38
40908,22,47,29,22
40959,8,62,35,30
4131,17,39,26,23
44178,7,54,30,23
44982,12,72,34,26
45739,10,49,27,27
45976,14,44,29,27
46025,11,40,21,23
46411,18,40,27,29
46877,6,36,25,21
47320,9,44,33,31
47492,13,68,30,29
48073,8,63,31,21
48340,8,51,28,26
49333,13,55,24,21
49640,10,46,24,20
50034,26,53,30,30
50375,9,32,23,22
50382,13,41,26,28
5116,9,50,31,21
51962,14,40,26,21
52549,14,42,30,24
52666,12,34,19,19
53186,10,81,48,32
5410,16,52,27,18
54383,10,62,39,32
54593,10,67,40,37
5494,9,53,27,25
54944,12,46,25,21
5512,9,41,30,22
55279,11,44,23,24
55462,18,82,45,35
55513,18,49,36,33
56354,15,46,32,25
57204,9,45,30,33
57278,22,72,46,44
57717,19,66,32,33
57832,12,56,34,35
58242,17,55,31,36
59148,14,30,23,21
59380,14,58,28,24
59382,12,38,23,30
59395,8,44,22,20
59446,9,52,28,26
59721,11,29,18,18
60473,14,59,36,34
60643,13,60,36,28
6160,7,59,32,23
61600,16,49,35,33
61747,14,38,20,29
62121,20,79,51,42
62377,16,40,29,30
62630,5,28,23,20
62905,11,38,27,27
63768,14,60,41,38
64166,16,88,41,40
64325,24,65,32,34
64417,5,35,24,22
64744,9,47,27,27
65142,16,67,35,33
65385,12,57,33,20
66084,12,48,31,28
66987,14,62,40,33
67028,7,31,23,25
67245,11,29,25,23
675,19,51,31,36
6865,13,55,22,18
7017,11,65,46,28
70264,6,38,24,19
70509,16,44,33,33
70975,21,61,32,26
71609,10,52,30,20
71735,7,52,36,28
71851,13,54,34,32
72365,9,58,30,21
72669,11,45,34,27
74320,19,70,44,41
74349,12,53,33,27
76145,11,44,27,26
76323,13,77,44,38
76504,5,27,19,17
77835,11,50,37,27
78192,16,69,33,28
78500,10,54,30,21
78675,9,47,22,17
79155,10,46,30,23
79709,6,72,43,33
79866,8,57,32,29
80108,7,44,22,24
80405,12,52,31,31
80577,13,50,27,22
80905,14,75,46,44
81371,11,55,32,28
8147,27,78,40,33
8185,10,66,37,31
82362,12,49,28,30
83148,17,76,41,38
83165,13,66,37,32
83256,12,30,19,18
83335,9,51,44,34
83353,15,34,26,24
83632,12,49,25,24
83989,20,41,26,26
84228,20,51,34,33
84490,14,47,23,21
84737,18,58,39,36
84749,19,61,29,30
85117,14,62,41,35
85432,14,57,33,29
86349,8,59,34,32
86822,5,53,25,27
86863,21,61,22,26
86868,7,43,27,29
87089,21,64,40,38
87422,14,61,34,28
88246,25,87,56,46
89833,17,65,51,39
90450,14,55,40,30
91198,6,55,28,24
91258,23,64,29,31
91410,10,111,51,34
91585,12,43,24,23
91606,9,37,20,19
9165,10,52,34,32
91671,12,49,28,28
92192,14,68,38,39
92501,14,49,27,26
92812,18,80,54,43
93058,13,57,29,26
93086,4,43,28,20
93229,12,45,22,19
93758,12,42,25,22
94024,11,43,25,21
94281,11,50,30,27
94946,14,51,22,20
96106,9,33,26,28
96471,8,52,27,25
96520,11,42,26,26
96717,19,34,31,26
9737,20,69,36,35
97566,10,39,33,25
97789,13,39,26,25
98228,10,67,46,36
98306,11,45,24,22
98572,15,71,41,38
98860,10,47,30,29
99197,10,38,20,18
99379,8,38,24,21
99383,9,44,21,18
99703,11,43,23,16
99731,10,49,30,28
9975,9,47,27,28
99776,10,66,39,36
99872,11,52,38,33
99984,12,91,51,41
